componente,valor_singular,varianza_explicada,varianza_acumulada
251,5.4366,0.00019868643478778068,0.9638996287727843
252,5.427208,0.00019800052707595064,0.9640976292998603
253,5.414879,0.00019710194504083322,0.9642947312449012
254,5.395478,0.0001956920746076286,0.9644904233195088
255,5.3761563,0.0001942930203986658,0.9646847163399075
256,5.3672757,0.0001936516638740861,0.9648783680037816
257,5.3583198,0.0001930059401208358,0.9650713739439024
258,5.3289075,0.00019089290359526148,0.9652622668474977
259,5.3111053,0.00018961960522194935,0.9654518864527196
260,5.298601,0.00018872780155438916,0.965640614254274
261,5.2733097,0.00018693041900431478,0.9658275446732784
262,5.25047,0.0001853146746469621,0.9660128593479254
263,5.225471,0.00018355419271795346,0.9661964135406433
264,5.2015276,0.00018187593366620535,0.9663782894743096
265,5.1925664,0.00018124980113779716,0.9665595392754474
266,5.1856694,0.0001807686345516178,0.966740307909999
267,5.168452,0.0001795702389910298,0.96691987814899
268,5.124856,0.00017655367222938934,0.9670964318212194
269,5.1122355,0.0001756851822392917,0.9672721170034587
270,5.101653,0.0001749585901838266,0.9674470755936425
271,5.076963,0.00017326921580160148,0.9676203448094441
272,5.062582,0.00017228900628238374,0.9677926338157266
273,5.036963,0.00017054969260167424,0.9679631835083282
274,5.030118,0.00017008646943431234,0.9681332699777625
275,5.023911,0.00016966696693655577,0.968302936944699
276,4.9894505,0.00016734735437637146,0.9684702842990754
277,4.964782,0.00016569668928925857,0.9686359809883647
278,4.9464436,0.00016447486467204128,0.9688004558530368
279,4.9252167,0.000163066257659828,0.9689635221106966
280,4.90261,0.00016157273798110382,0.9691250948486777
281,4.8890057,0.00016067729149762223,0.9692857721401753
282,4.8751307,0.00015976658069837091,0.9694455387208737
283,4.844302,0.0001577523630349451,0.9696032910839086
284,4.844091,0.0001577386055517264,0.9697610296894603
285,4.8214107,0.00015626498292814676,0.9699172946723885
286,4.7934766,0.00015445950616712936,0.9700717541785556
287,4.790653,0.00015427760676924675,0.9702260317853248
288,4.768472,0.00015285228351337852,0.9703788840688382
289,4.764856,0.0001526205299740236,0.9705315045988122
290,4.730834,0.00015044883950312955,0.9706819534383153
